"","Scientific.Name","x","y"
"8397","Phascolarctos cinereus",481861.923312214,5759635.41848504
"8398","Phascolarctos cinereus",482362.613384631,5737435.53751936
"8399","Phascolarctos cinereus",234821.625130107,5729882.37235449
"8400","Phascolarctos cinereus",612212.710495299,5879783.99568438
"8401","Phascolarctos cinereus",54903.5915522003,5858275.00233703
"8402","Phascolarctos cinereus",137455.526927503,5720974.58907526
"8403","Phascolarctos cinereus",12901.168394215,5788017.34944426
"8404","Phascolarctos cinereus",446862.257537574,5735635.49981084
"8405","Phascolarctos cinereus",260562.461199121,5858535.71179311
"8406","Phascolarctos cinereus",351462.041946799,5806535.30194742
"8407","Phascolarctos cinereus",397962.351882346,5885735.76064022
"8408","Phascolarctos cinereus",310662.527565003,5831735.18921633
"8409","Phascolarctos cinereus",338503.313956429,5898426.94566522
"8410","Phascolarctos cinereus",487262.544902346,5741734.59559196
"8412","Phascolarctos cinereus",374461.839352773,5894735.09525789
"8413","Phascolarctos cinereus",422662.114466744,5727734.63206535
"8414","Phascolarctos cinereus",237054.128956199,5750973.30152065
"8415","Phascolarctos cinereus",347661.824191274,5824435.24592169
"8416","Phascolarctos cinereus",737591.601406114,5842960.60772411
"8417","Phascolarctos cinereus",367661.992818579,5893735.70578745
"8418","Phascolarctos cinereus",152704.432208958,5866762.1164802
"8419","Phascolarctos cinereus",291061.753647306,5877535.38758314
"8420","Phascolarctos cinereus",371162.581214788,5906535.81921061
"8421","Phascolarctos cinereus",446662.119676021,5754134.55561307
"8422","Phascolarctos cinereus",425162.530981037,5982135.67739483
"8423","Phascolarctos cinereus",456692.874644209,5781202.49076715
"8424","Phascolarctos cinereus",286862.350663671,5865935.36542823
"8425","Phascolarctos cinereus",446679.186618081,5784401.93363662
"8426","Phascolarctos cinereus",402387.717262809,5919235.32127047
"8427","Phascolarctos cinereus",356762.006129749,5932035.22248935
"8428","Phascolarctos cinereus",397461.836189247,5884035.33234804
"8429","Phascolarctos cinereus",245362.031031698,5838135.33892735
"8430","Phascolarctos cinereus",737008.133491454,5842971.72620487
"8431","Phascolarctos cinereus",357761.769006064,5810935.72494054
"8432","Phascolarctos cinereus",400662.616583605,5954035.53392824
"8433","Phascolarctos cinereus",314562.469252753,5851135.17087531
"8434","Phascolarctos cinereus",425066.038119856,5768236.91585036
"8435","Phascolarctos cinereus",56246.7017731761,5852170.07786992
"8436","Phascolarctos cinereus",429462.256876391,6005635.2898901
"8437","Phascolarctos cinereus",232870.362204616,5727549.51712007
"8438","Phascolarctos cinereus",319762.314541116,6021634.83230058
"8439","Phascolarctos cinereus",23441.0779161275,5778788.78503671
"8440","Phascolarctos cinereus",346762.009836624,5825834.9190409
"8441","Phascolarctos cinereus",254782.631993866,5862848.48579557
"8442","Phascolarctos cinereus",226839.583302876,5851931.6816542
"8443","Phascolarctos cinereus",452240.32860417,5781678.00005655
"8444","Phascolarctos cinereus",360962.559201329,5953235.06070241
"8445","Phascolarctos cinereus",199899.472027135,5695313.87417683
"8446","Phascolarctos cinereus",403162.645630613,5922035.68928575
"8447","Phascolarctos cinereus",255561.016370294,5850696.88305521
"8448","Phascolarctos cinereus",611026.448495288,5860539.44885625
"8449","Phascolarctos cinereus",401152.248268737,5917155.13926483
"8450","Phascolarctos cinereus",348762.240165983,5946135.61937858
"8451","Phascolarctos cinereus",322762.036623203,5752635.32950068
"8452","Phascolarctos cinereus",17935.6932448043,5788421.83145382
"8453","Phascolarctos cinereus",486510.602048916,5771023.19830303
"8454","Phascolarctos cinereus",170477.626927974,5869595.94897214
"8455","Phascolarctos cinereus",396661.908777275,5886134.88536613
"8456","Phascolarctos cinereus",264161.574537422,5804235.67790144
"8457","Phascolarctos cinereus",25527.496419752,5744626.27546643
"8458","Phascolarctos cinereus",-12733.1612037929,5771975.15538596
"8459","Phascolarctos cinereus",340162.138811538,5748734.86462101
"8460","Phascolarctos cinereus",238762.348834137,5811834.94188265
"8461","Phascolarctos cinereus",397861.812694579,5884435.21190644
"8462","Phascolarctos cinereus",234394.723755835,5804414.39792732
"8463","Phascolarctos cinereus",6001.83840648539,5779135.50310472
"8464","Phascolarctos cinereus",471962.549855823,5988934.92325639
"8465","Phascolarctos cinereus",339801.916964095,5759843.69728465
"8466","Phascolarctos cinereus",445462.453945681,5696734.83566749
"8467","Phascolarctos cinereus",335962.198415549,5911635.84783477
"8468","Phascolarctos cinereus",350661.948474061,5767735.51669947
"8469","Phascolarctos cinereus",474561.942820457,5975434.86826069
"8470","Phascolarctos cinereus",322361.898635106,5753734.59224358
"8471","Phascolarctos cinereus",349962.045761813,5928835.62925096
"8472","Phascolarctos cinereus",185302.493450916,5749809.38080221
"8473","Phascolarctos cinereus",233722.022032019,5728306.85847845
"8474","Phascolarctos cinereus",506567.010566562,5779741.75555359
"8475","Phascolarctos cinereus",28931.5424706254,5754092.02772979
"8476","Phascolarctos cinereus",15928.1155261758,5792176.57307083
"8477","Phascolarctos cinereus",-4870.19841197296,5776910.01911097
"8478","Phascolarctos cinereus",224983.319874256,5713301.75812188
"8479","Phascolarctos cinereus",396581.466163459,5930936.5951708
"8480","Phascolarctos cinereus",364262.448791618,5905434.92322321
"8481","Phascolarctos cinereus",325248.62890953,5751050.84401722
"8483","Phascolarctos cinereus",402661.884061564,5903735.09233907
"8484","Phascolarctos cinereus",408462.278400368,5734034.95770158
"8485","Phascolarctos cinereus",345361.771455662,5836535.62283334
"8486","Phascolarctos cinereus",27582.7383539263,5780930.17117476
"8487","Phascolarctos cinereus",345462.215296548,5847035.462675
"8488","Phascolarctos cinereus",212107.262946858,5815908.90899423
"8489","Phascolarctos cinereus",170345.393982696,5870088.80193622
"8490","Phascolarctos cinereus",253361.630146454,5802435.02183966
"8491","Phascolarctos cinereus",439933.356007057,5794169.4638459
"8492","Phascolarctos cinereus",184977.138837101,5754801.92991936
"8493","Phascolarctos cinereus",-11287.0587034069,5775514.73973443
"8494","Phascolarctos cinereus",397394.064360811,5914107.10931224
"8495","Phascolarctos cinereus",310862.193557993,5857635.35463654
"8496","Phascolarctos cinereus",354316.25086919,5937733.4161131
"8497","Phascolarctos cinereus",241662.283654754,5849835.09539532
"8498","Phascolarctos cinereus",447062.363192864,5772435.07841997
"8499","Phascolarctos cinereus",244761.634656399,5838135.76515611
"8500","Phascolarctos cinereus",489462.696845624,5984358.31630789
"8501","Phascolarctos cinereus",176889.736798212,5754653.55245471
"8502","Phascolarctos cinereus",360662.219765249,5933935.13073643
"8503","Phascolarctos cinereus",22602.3765313622,5778369.6401486
"8504","Phascolarctos cinereus",-9477.44955753803,5773680.9793896
"8505","Phascolarctos cinereus",272661.636003088,5813734.95653024
"8506","Phascolarctos cinereus",173319.951273171,5842298.99643191
"8507","Phascolarctos cinereus",9704.81090382743,5786836.21692066
"8508","Phascolarctos cinereus",357962.420769252,5931434.92450497
"8509","Phascolarctos cinereus",318411.755063513,5748055.04684431
"8510","Phascolarctos cinereus",356162.543489787,5941034.94798242
"8511","Phascolarctos cinereus",14343.089589874,5776475.60848222
"8512","Phascolarctos cinereus",358462.342092518,5930635.34811575
"8513","Phascolarctos cinereus",363762.36987879,5932434.8560598
"8514","Phascolarctos cinereus",350548.488021563,5741051.49081876
"8515","Phascolarctos cinereus",241662.326966297,5783735.62750032
"8516","Phascolarctos cinereus",235034.62659613,5729696.0761524
"8517","Phascolarctos cinereus",22879.1151520676,5776882.33329493
"8518","Phascolarctos cinereus",24492.5081178862,5777091.5332724
"8519","Phascolarctos cinereus",342162.490747602,5821835.48225299
"8520","Phascolarctos cinereus",24287.5971368974,5781371.55138497
"8521","Phascolarctos cinereus",528087.58253243,5767817.92526316
"8522","Phascolarctos cinereus",424940.384683853,5993012.77940571
"8523","Phascolarctos cinereus",341362.214670744,5821735.76361676
"8524","Phascolarctos cinereus",6571.53228519065,5806455.95237581
"8526","Phascolarctos cinereus",16652.1789898683,5792286.26189346
"8527","Phascolarctos cinereus",12399.9927396917,5793774.0157063
"8528","Phascolarctos cinereus",478162.169192181,5741234.54593128
"8529","Phascolarctos cinereus",352562.391533938,5768635.04443405
"8530","Phascolarctos cinereus",383262.510062964,5967435.47261685
"8531","Phascolarctos cinereus",26489.8250531461,5776975.02825538
"8532","Phascolarctos cinereus",358761.915606279,5811334.79243968
"8533","Phascolarctos cinereus",614318.322251592,5891804.13433415
"8534","Phascolarctos cinereus",397462.202870307,5885535.50510925
"8535","Phascolarctos cinereus",401662.257200416,5727435.17708
"8536","Phascolarctos cinereus",333962.216953975,5901335.78856848
"8537","Phascolarctos cinereus",342461.77080934,5822135.35874373
"8539","Phascolarctos cinereus",225177.540399551,5714918.79735366
"8540","Phascolarctos cinereus",284962.130733071,5871635.21661905
"8542","Phascolarctos cinereus",-17654.239439832,5774991.77560985
"8543","Phascolarctos cinereus",438762.189010856,5737234.5115943
"8544","Phascolarctos cinereus",-8682.19795953803,5773206.58777543
"8545","Phascolarctos cinereus",22818.3735641409,5760025.27781271
"8546","Phascolarctos cinereus",-15840.2111671898,5774338.45247179
"8547","Phascolarctos cinereus",17276.5084267227,5781878.97245243
"8548","Phascolarctos cinereus",442861.983025145,5742735.51100909
"8549","Phascolarctos cinereus",453461.821122679,5680035.31807803
"8550","Phascolarctos cinereus",337784.843459402,5886891.15530286
"8551","Phascolarctos cinereus",211212.056450131,5894434.87995566
"8552","Phascolarctos cinereus",292262.284648899,5878535.57551301
"8553","Phascolarctos cinereus",391762.447188694,5933834.92126935
"8554","Phascolarctos cinereus",173107.450099433,5746107.12723726
"8555","Phascolarctos cinereus",405862.100588907,5868834.74932135
"8556","Phascolarctos cinereus",428683.764342306,5829318.86197066
"8557","Phascolarctos cinereus",463262.343755057,5741535.30164791
"8558","Phascolarctos cinereus",246661.728664556,5866535.13708335
"8559","Phascolarctos cinereus",398562.554558249,5884635.64708521
"8560","Phascolarctos cinereus",614275.808090669,5872546.71741498
"8561","Phascolarctos cinereus",253162.391166222,5853535.13597549
"8562","Phascolarctos cinereus",398507.779487477,5921575.41638639
"8563","Phascolarctos cinereus",19270.783028648,5760027.18804946
"8564","Phascolarctos cinereus",455462.528344139,5745534.97438668
"8565","Phascolarctos cinereus",350890.190635048,5750309.37929196
"8566","Phascolarctos cinereus",443510.779028297,5787287.74084161
"8567","Phascolarctos cinereus",742319.740358816,5841785.48173281
"8568","Phascolarctos cinereus",446462.490972292,5753934.60521035
"8569","Phascolarctos cinereus",455662.330523219,5709734.52878215
"8570","Phascolarctos cinereus",246148.531004909,5822950.72329197
"8571","Phascolarctos cinereus",34256.5614758181,5760713.61459611
"8572","Phascolarctos cinereus",214608.602608724,5883524.85986461
"8573","Phascolarctos cinereus",367061.919511512,5914035.10022486
"8574","Phascolarctos cinereus",19759.8847926612,5780966.74389967
"8575","Phascolarctos cinereus",11499.2070465841,5787052.98556379
"8576","Phascolarctos cinereus",258362.063124288,5806634.961367
"8577","Phascolarctos cinereus",223747.602855405,5817258.79448584
"8578","Phascolarctos cinereus",465762.574264589,5733935.30404117
"8579","Phascolarctos cinereus",249966.996270156,5826490.87497531
"8580","Phascolarctos cinereus",408273.282091082,5712345.61919962
"8581","Phascolarctos cinereus",21606.9764958824,5760366.1977671
"8582","Phascolarctos cinereus",-25208.9155032024,5774075.94772827
"8583","Phascolarctos cinereus",346049.294454262,5742051.1285524
"8584","Phascolarctos cinereus",253862.42528213,5898934.91857803
"8585","Phascolarctos cinereus",-13572.6996296212,5772867.9843222
"8586","Phascolarctos cinereus",428162.741508053,5978735.4416345
"8587","Phascolarctos cinereus",495862.458963073,5996534.85227426
"8588","Phascolarctos cinereus",360662.20537405,5886735.80571603
"8589","Phascolarctos cinereus",265261.8969017,5835834.83540672
"8590","Phascolarctos cinereus",337762.487093731,5846535.78958365
"8591","Phascolarctos cinereus",258497.45498162,5857958.64982589
"8592","Phascolarctos cinereus",203936.085177487,5860595.20100607
"8593","Phascolarctos cinereus",446762.616289732,5753734.63513425
"8594","Phascolarctos cinereus",198699.320309875,5699095.96271821
"8595","Phascolarctos cinereus",22706.158427385,5780647.16636047
"8596","Phascolarctos cinereus",255661.592827949,5801735.22382316
"8597","Phascolarctos cinereus",427162.756224949,5987535.0455365
"8598","Phascolarctos cinereus",338262.128419865,5824734.80761932
"8599","Phascolarctos cinereus",452962.180949161,5753135.13413301
